Date,Open,High,Low,Close,Adj Close,Volume
2023-10-02,530.0,534.0,528.0,533.0,533.0,25427911
2023-10-03,528.0,533.0,528.0,529.0,529.0,14490129
2023-10-04,521.0,523.0,519.0,520.0,520.0,28358964
2023-10-05,523.0,529.0,523.0,528.0,528.0,24945684
2023-10-06,530.0,533.0,529.0,532.0,532.0,15336587
2023-10-11,542.0,544.0,540.0,544.0,544.0,46639969
2023-10-12,545.0,550.0,544.0,550.0,550.0,34161176
2023-10-13,550.0,554.0,548.0,553.0,553.0,31123496
2023-10-16,546.0,547.0,542.0,545.0,545.0,20222773
